Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Add to Cart,1123,568,33,96.70628464806872,0.6619999912800267,3574.1656250029337,42.20837043633126,3.764400132425718,1.9039886689383865,33,68,95,120,220,360,720,910,3200,3600,3600
GET,Browse Catalogue,2514,591,13,58.57364750670666,0.6257079949136823,1502.245583003969,2137.941527446301,8.427161115688563,1.9810868016594831,13,25,40,53,140,290,580,740,1400,1500,1500
POST,Checkout,803,221,46,41.233812594129695,0.49612499424256384,333.8264999911189,31.89041095890411,2.691730459784374,0.7408124926679285,46,48,51,54,69,89,120,160,330,330,330
GET,Homepage,316,69,7,39.95402439576986,0.638166005956009,943.2815840118565,6790.93670886076,1.0592613017333277,0.2312943981632899,8,13,25,34,73,180,490,510,940,940,940
POST,Quick Add to Cart,2455,1228,27,73.3942370861176,0.47208300384227186,3652.9767499887384,34.431771894093686,8.229387644795315,4.11636986876116,27,50,78,94,170,280,530,750,1600,3700,3700
GET,Quick Browse,807,221,11,47.78644605572197,0.6507079961011186,1393.1883750046836,2029.5786864931847,2.7051388306923907,0.7408124926679285,11,20,34,45,91,230,510,600,1400,1400,1400
GET,View Cart,575,127,7,41.073306904341415,0.657666998449713,1257.0272500015562,17935.58260869565,1.9274533180274158,0.4257157763295336,7,14,24,35,75,150,390,810,1300,1300,1300
GET,View Cart Before Checkout,804,221,5,18.106577840703338,0.5204170010983944,1492.6719999930356,16692.3631840796,2.695082552511378,0.7408124926679285,5,8,14,19,39,69,120,200,1500,1500,1500
GET,View Product,2304,557,51,74.3983498343381,0.5987500044284388,1546.0640419914853,248.48828125,7.7232216430176805,1.8671156489413403,51,58,72,83,140,250,520,650,1500,1500,1500
GET,View Product Before Add,1123,268,46,70.33783258680383,0.7960000075399876,1442.9925000004005,249.78628673196795,3.764400132425718,0.898360850837126,46,54,65,76,120,280,610,780,1100,1400,1400
,Aggregated,12824,4071,23,63.07829606943192,0.47208300384227186,3652.9767499887384,2643.6974422956955,42.98723713110188,13.646369491634104,23,49,58,72,130,260,520,710,1500,3600,3700
